"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Tabs ","","0","1","0","0","0"
"","Links","","0","0","3","0","0"
"","Alerts Windows","","0","0","4","0","0"
"","WebTables","","0","2","3","0","0"
"","Auto Complete","","0","0","4","0","0"
"","DynamicProperties","","1","0","2","0","0"
"","RadioButton","","1","0","0","0","0"
"","Droppable Page","","0","0","1","0","0"
"","Sortable Page","","0","0","1","0","0"
"","Browser Windows","","0","0","2","0","0"
"","Test form","","0","1","0","0","0"
"","Selectable Page","","0","0","1","0","0"
"","CheckBox","","0","1","0","0","0"
"","Date","","0","0","1","0","0"
"","UploadAndDown","","0","1","1","0","0"
"","TextBox","","0","0","1","0","0"
"","Progress Bar","","0","0","2","0","0"
"","Tools Tips","","0","0","1","0","0"
"","Accordian","","1","0","0","0","0"
"","Menu","","0","0","1","0","0"
"","Button","","0","1","0","0","0"
"","Frames","","0","0","1","0","0"
"","Nested Frames","","0","0","1","0","0"
"","Resizable Page","","1","0","0","0","0"
"","Slider","","0","0","1","0","0"
"","Modal Dialogs","","0","0","1","0","0"
